year,bau_high,bau_low,pledges_high,pledges_low,current_policy_high,current_policy_low,optimistic_policy,d2_high,d2_median,d2_low,d15_high,d15_median,d15_low,historical
2020,66.4679228716043,53.3921146711043,51.71109,50.43004,52.44229,51.70652,51.74293,55.454029453246,53.4684780558879,51.1656345044701,53.8279231500905,53.4684780558879,50.5122817408503,
2021,68.0066396616043,54.0279424512543,52.05387,50.2569,52.88324,51.87559,51.86131,54.2514241306622,51.9709006269907,49.4681564686653,51.1983350127967,50.7166977849626,47.58866291857,
2022,69.5453564516043,54.6637702314043,52.44778,50.4448,53.40731,52.16404,52.10317,53.0488188080784,50.4733231980936,47.7706784328605,48.5687468755028,47.9649175140373,44.6650440962896,
2023,71.0840732416043,55.2995980115543,52.84381,50.64419,53.93769,52.46312,52.37166,51.8462134854946,48.9757457691964,46.0732003970556,45.9391587382089,45.2131372431119,41.7414252740092,
2024,72.6227900316043,55.9354257917043,53.25025,50.85228,54.48259,52.77236,52.6512,50.6436081629108,47.4781683402993,44.3757223612508,43.3095706009151,42.4613569721866,38.8178064517289,
2025,74.1615068216043,56.5712535718543,53.60533,50.98564,55.05729,53.09163,52.9398,49.441002840327,45.9805909114021,42.6782443254459,40.6799824636212,39.7095767012613,35.8941876294485,
2026,75.7002236116043,57.2070813520043,53.8671,51.10208,55.55736,53.37452,53.20089,48.2383975177432,44.4830134825049,40.9807662896411,38.0503943263273,36.957796430336,32.9705688071681,
2027,77.2389404016043,57.8429091321543,54.12396,51.22191,56.06751,53.66466,53.46141,47.0357921951594,42.9854360536078,39.2832882538363,35.4208061890334,34.2060161594107,30.0469499848878,
2028,78.7776571916043,58.4787369123043,54.40179,51.34274,56.59681,53.96867,53.74345,45.8331868725756,41.4878586247106,37.5858102180314,32.7912180517396,31.4542358884853,27.1233311626074,
2029,80.3163739816043,59.1145646924543,54.54263,51.46261,57.11828,54.30171,54.04768,44.6305815499918,39.9902811958135,35.8883321822266,30.1616299144457,28.70245561756,24.199712340327,
2030,81.8550907716043,59.7503924726043,54.65127,51.57716,57.63305,54.60262,54.32468,43.427976227408,38.4927037669163,34.1908541464217,27.5320417771518,25.9506753466347,21.2760935180467,
2031,83.0505174106043,60.3459289614043,54.73079,51.99313,58.02276,54.66542,54.38656,42.2851786046672,37.3604062136646,33.1380386721314,26.4196654710237,24.6606641700679,20.2442245072041,
2032,84.2459440496043,60.9414654502043,54.73325,51.8156,58.40488,54.67743,54.40482,41.1423809819264,36.2281086604129,32.0852231978411,25.3072891648956,23.3706529935011,19.2123554963616,
2033,85.4413706886043,61.5370019390043,54.71926,51.62435,58.77868,54.66506,54.39704,39.9995833591856,35.0958111071613,31.0324077235508,24.1949128587675,22.0806418169344,18.180486485519,
2034,86.6367973276043,62.1325384278043,54.69033,51.42717,59.1456,54.64395,54.3686,38.8567857364448,33.9635135539096,29.9795922492605,23.0825365526394,20.7906306403676,17.1486174746765,
2035,87.8322239666043,62.7280749166043,54.6516,51.22605,59.50003,54.62405,54.32899,37.713988113704,32.8312160006579,28.9267767749702,21.9701602465113,19.5006194638008,16.1167484638339,
2036,89.0276506056043,63.3236114054043,54.63073,51.00357,59.84603,54.61309,54.29426,36.5711904909632,31.6989184474062,27.8739613006799,20.8577839403832,18.210608287234,15.0848794529914,
2037,90.2230772446043,63.9191478942043,54.62011,50.76228,60.16217,54.60954,54.26068,35.4283928682224,30.5666208941545,26.8211458263896,19.7454076342551,16.9205971106673,14.0530104421488,
2038,91.4185038836043,64.5146843830043,54.6055,50.49798,60.4512,54.60325,54.2154,34.2855952454816,29.4343233409029,25.7683303520993,18.6330313281271,15.6305859341005,13.0211414313063,
2039,92.6139305226043,65.1102208718043,54.58701,50.21366,60.70841,54.59504,54.17155,33.1427976227408,28.3020257876512,24.7155148778089,17.5206550219989,14.3405747575337,11.9892724204637,
2040,93.8093571616043,65.7057573606043,54.54496,49.91085,60.93473,54.56995,54.11409,32,27.1697282343995,23.6626994035186,16.4082787158709,13.0505635809669,10.9574034096212,
2041,95.4684120775043,66.5336934211543,54.51385,49.59916,61.19211,54.5359,54.04879,31.0506272179625,26.3387300699595,22.8187946006668,15.7773412147838,12.4705777662702,10.3755361519091,
2042,97.1274669934043,67.3616294817043,54.43365,49.22635,61.42976,54.43148,53.91027,30.101254435925,25.5077319055196,21.9748897978149,15.1464037136967,11.8905919515735,9.79366889419696,
2043,98.7865219093043,68.1895655422543,54.31413,48.80222,61.66065,54.27106,53.71863,29.1518816538875,24.6767337410796,21.130984994963,14.5154662126096,11.3106061368768,9.21180163648484,
2044,100.445576825204,69.0175016028043,54.15465,48.32813,61.89421,54.05329,53.47992,28.20250887185,23.8457355766397,20.2870801921112,13.8845287115225,10.7306203221801,8.62993437877272,
2045,102.104631741104,69.8454376633543,53.97034,47.81249,62.13105,53.81211,53.20488,27.2531360898125,23.0147374121997,19.4431753892593,13.2535912104354,10.1506345074835,8.0480671210606,
2046,103.763686657004,70.6733737239043,53.81475,47.28539,62.35848,53.60314,52.9416,26.303763307775,22.1837392477598,18.5992705864075,12.6226537093483,9.57064869278677,7.46619986334848,
2047,105.422741572904,71.5013097844543,53.66495,46.74144,62.58179,53.40594,52.67662,25.3543905257375,21.3527410833198,17.7553657835556,11.9917162082613,8.99066287809007,6.88433260563636,
2048,107.081796488804,72.3292458450043,53.49849,46.19943,62.77447,53.19912,52.41054,24.4050177437,20.5217429188799,16.9114609807037,11.3607787071742,8.41067706339338,6.30246534792424,
2049,108.740851404704,73.1571819055543,53.31113,45.65854,62.92844,52.97617,52.1508,23.4556449616625,19.6907447544399,16.0675561778519,10.7298412060871,7.83069124869669,5.72059809021212,
2050,110.399906320604,73.9851179661043,53.10588,45.10983,63.05012,52.73595,51.90601,22.506272179625,18.85974659,15.223651375,10.098903705,7.250705434,5.1387308325,
2051,111.835800965704,74.6725828501543,52.76197,44.50751,63.11833,52.34266,51.56927,21.6800807542678,18.198826817,14.6305989034,9.6013749539,6.9489938984,4.680760518899,
2052,113.271695610804,75.3600477342043,52.40046,43.86486,63.07831,51.89313,51.23553,20.8538893289106,17.537907044,14.0375464318,9.1038462028,6.6472823628,4.222790205298,
2053,114.707590255904,76.0475126182543,52.05593,43.18347,62.99556,51.37123,50.91647,20.0276979035534,16.876987271,13.4444939602,8.6063174517,6.3455708272,3.764819891697,
2054,116.143484901004,76.7349775023043,51.71317,42.48376,62.87717,50.80139,50.63002,19.2015064781962,16.216067498,12.8514414886,8.1087887006,6.0438592916,3.306849578096,
2055,117.579379546104,77.4224423863543,51.32719,41.78373,62.7264,50.22237,50.34374,18.375315052839,15.555147725,12.258389017,7.6112599495,5.742147756,2.848879264495,
2056,119.015274191204,78.1099072704043,50.83795,41.10287,62.52896,49.6811,50.01057,17.5491236274818,14.894227952,11.6653365454,7.1137311984,5.4404362204,2.390908950894,
2057,120.451168836304,78.7973721544543,50.28741,40.43754,62.30701,49.19007,49.62844,16.7229322021246,14.233308179,11.0722840738,6.6162024473,5.1387246848,1.932938637293,
2058,121.887063481404,79.4848370385043,49.74141,39.78934,62.09168,48.75817,49.20252,15.8967407767674,13.572388406,10.4792316022,6.1186736962,4.8370131492,1.474968323692,
2059,123.322958126504,80.1723019225543,49.23198,39.16685,61.90632,48.37385,48.78393,15.0705493514102,12.911468633,9.8861791306,5.6211449451,4.5353016136,1.016998010091,
2060,124.758852771604,80.8597668066043,48.77913,38.59357,61.75645,48.02976,48.39189,14.244357926053,12.25054886,9.293126659,5.123616194,4.233590078,0.55902769649,
2061,126.379193321604,81.2760874061043,48.31644,38.02781,61.57714,47.65537,47.96436,13.7975675048977,11.7919057528716,8.8244514174,4.8904936747,3.812638412077,0.266859726991,
2062,127.999533871604,81.6924080056043,47.82306,37.47672,61.3816,47.2686,47.50757,13.3507770837424,11.3332626457432,8.3557761758,4.6573711554,3.391686746154,-0.025308242508,
2063,129.619874421604,82.1087286051043,47.24869,36.95831,61.17296,46.86922,47.00329,12.9039866625871,10.8746195386148,7.8871009342,4.4242486361,2.970735080231,-0.317476212007,
2064,131.240214971604,82.5250492046044,46.58592,36.48372,60.98301,46.44888,46.46224,12.4571962414318,10.4159764314864,7.4184256926,4.1911261168,2.549783414308,-0.609644181506,
2065,132.860555521604,82.9413698041043,45.89301,36.04531,60.80668,46.02169,45.8949,12.0104058202765,9.957333324358,6.949750451,3.9580035975,2.128831748385,-0.901812151005,
2066,134.480896071604,83.3576904036043,45.22449,35.63336,60.65232,45.56104,45.35339,11.5636153991212,9.4986902172296,6.4810752094,3.7248810782,1.707880082462,-1.193980120504,
2067,136.101236621604,83.7740110031043,44.61832,35.25181,60.52663,45.06294,44.82256,11.1168249779659,9.0400471101012,6.0123999678,3.4917585589,1.286928416539,-1.486148090003,
2068,137.721577171604,84.1903316026043,44.04392,34.87515,60.41252,44.54938,44.28688,10.6700345568106,8.5814040029728,5.5437247262,3.2586360396,0.865976750616001,-1.778316059502,
2069,139.341917721604,84.6066522021043,43.50264,34.50523,60.30602,44.03774,43.75726,10.2232441356553,8.1227608958444,5.0750494846,3.0255135203,0.445025084693,-2.070484029001,
2070,140.962258271604,85.0229728016043,42.99472,34.14985,60.20606,43.5543,43.25692,9.7764537145,7.664117788716,4.606374243,2.792391001,0.02407341877,-2.3626519985,
2071,141.744710661604,85.3198108196043,42.54192,33.82169,60.11497,43.1235,42.77523,9.52556772855,7.2563475310444,4.426544653,2.6815081102,-0.142224412807,-2.6925253799,
2072,142.527163051604,85.6166488376043,42.09498,33.48354,60.01412,42.7318,42.2898,9.2746817426,6.8485772733728,4.246715063,2.5706252194,-0.308522244384,-3.0223987613,
2073,143.309615441604,85.9134868556043,41.67756,33.14034,59.89765,42.38903,41.81673,9.02379575665,6.4408070157012,4.066885473,2.4597423286,-0.474820075961,-3.3522721427,
2074,144.092067831604,86.2103248736043,41.27217,32.79436,59.76364,42.10856,41.36667,8.7729097707,6.0330367580296,3.887055883,2.3488594378,-0.641117907538,-3.6821455241,
2075,144.874520221604,86.5071628916043,40.86624,32.45511,59.61646,41.885,40.9434,8.52202378475,5.625266500358,3.707226293,2.237976547,-0.807415739115,-4.0120189055,
2076,145.656972611604,86.8040009096043,40.4774,32.13788,59.45428,41.763,40.55049,8.2711377988,5.2174962426864,3.527396703,2.1270936562,-0.973713570692,-4.3418922869,
2077,146.439425001604,87.1008389276043,40.09584,31.8271,59.28745,41.69456,40.19138,8.02025181285,4.8097259850148,3.347567113,2.0162107654,-1.140011402269,-4.6717656683,
2078,147.221877391604,87.3976769456043,39.7361,31.52644,59.12974,41.64044,39.87057,7.7693658269,4.4019557273432,3.167737523,1.9053278746,-1.306309233846,-5.0016390497,
2079,148.004329781604,87.6945149636043,39.39365,31.23794,58.97604,41.58495,39.58192,7.51847984095,3.9941854696716,2.987907933,1.7944449838,-1.472607065423,-5.3315124311,
2080,148.786782171604,87.9913529816043,39.07263,30.9648,58.82075,41.51921,39.31813,7.267593855,3.586415212,2.808078343,1.683562093,-1.638904897,-5.6613858125,
2081,150.038836021604,87.9571445281043,38.74008,30.68283,58.60602,41.4083,39.03153,7.1070216005,3.5356110636,2.412959876111,1.3878463732,-1.6772521262,-5.84971029735,
2082,151.290889871604,87.9229360746043,38.4001,30.39952,58.29509,41.26066,38.73901,6.946449346,3.4848069152,2.017841409222,1.0921306534,-1.7155993554,-6.0380347822,
2083,152.542943721604,87.8887276211043,38.05905,30.11684,57.91041,41.0701,38.44969,6.7858770915,3.4340027668,1.622722942333,0.7964149336,-1.7539465846,-6.22635926705,
2084,153.794997571604,87.8545191676043,37.71124,29.83681,57.47467,40.85668,38.16176,6.625304837,3.3831986184,1.227604475444,0.5006992138,-1.7922938138,-6.4146837519,
2085,155.047051421604,87.8203107141043,37.38425,29.55991,57.00742,40.63659,37.88823,6.4647325825,3.33239447,0.832486008555002,0.204983493999999,-1.830641043,-6.60300823675,
2086,156.299105271604,87.7861022606043,37.06381,29.28974,56.55094,40.39945,37.60378,6.304160328,3.2815903216,0.437367541666002,-0.090732225800001,-1.8689882722,-6.7913327216,
2087,157.551159121604,87.7518938071043,36.77011,29.02935,56.14398,40.15789,37.32433,6.1435880735,3.2307861732,0.042249074777002,-0.386447945600001,-1.9073355014,-6.97965720645,
2088,158.803212971604,87.7176853536043,36.48933,28.77904,55.79986,39.94477,37.06306,5.983015819,3.1799820248,-0.352869392111997,-0.682163665400001,-1.9456827306,-7.1679816913,
2089,160.055266821604,87.6834769001043,36.2349,28.53576,55.50549,39.77668,36.83842,5.8224435645,3.1291778764,-0.747987859000997,-0.977879385200001,-1.9840299598,-7.35630617615,
2090,161.307320671604,87.6492684466043,36.00088,28.30474,55.25511,39.65496,36.64796,5.66187131,3.078373728,-1.14310632589,-1.273595105,-2.022377189,-7.544630661,
2091,162.690817271604,87.1501556671043,35.76623,28.07788,55.0455,39.56209,36.47284,5.51914309325,2.9601792637,-1.420246056116,-1.35843000735,-2.2972736236,-7.6923086751,
2092,164.074313871604,86.6510428876043,35.52883,27.84096,54.86773,39.49317,36.30466,5.3764148765,2.8419847994,-1.697385786342,-1.4432649097,-2.5721700582,-7.8399866892,
2093,165.457810471604,86.1519301081043,35.27493,27.59986,54.69835,39.43715,36.13392,5.23368665975,2.7237903351,-1.974525516568,-1.52809981205,-2.8470664928,-7.9876647033,
2094,166.841307071604,85.6528173286043,35.00961,27.3505,54.53022,39.39243,35.96141,5.090958443,2.6055958708,-2.251665246794,-1.6129347144,-3.1219629274,-8.1353427174,
2095,168.224803671604,85.1537045491043,34.72987,27.0991,54.36764,39.35553,35.77975,4.94823022625,2.4874014065,-2.52880497702,-1.69776961675,-3.396859362,-8.2830207315,
2096,169.608300271604,84.6545917696043,34.43564,26.85348,54.24109,39.31581,35.58727,4.8055020095,2.3692069422,-2.805944707246,-1.7826045191,-3.6717557966,-8.4306987456,
2097,170.991796871604,84.1554789901043,34.13892,26.61473,54.11557,39.26377,35.38647,4.66277379275,2.2510124779,-3.083084437472,-1.86743942145,-3.9466522312,-8.5783767597,
2098,172.375293471604,83.6563662106043,33.8491,26.38449,53.9662,39.19939,35.18291,4.520045576,2.1328180136,-3.360224167698,-1.9522743238,-4.2215486658,-8.7260547738,
2099,173.758790071604,83.1572534311043,33.57432,26.15604,53.79892,39.13106,34.98803,4.37731735925,2.0146235493,-3.637363897924,-2.03710922615,-4.4964451004,-8.8737327879,
2100,175.142286671604,82.6581406516043,33.31493,25.92803,53.6361,39.06966,34.80379,4.2345891425,1.896429085,-3.91450362815,-2.1219441285,-4.771341535,-9.021410802,
